clip_id,manual_label_id,manual_label,notes,source_majority_label,source_agreement_rate,source_mean_confidence
first_quarter_0152_10s,2,Engage,,,None,None
first_quarter_0156_10s,2,Engage,,Engage,0.5,0.7647584825754166
first_quarter_0157_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.6084859818220139
first_quarter_0163_10s,2,Engage,,,None,None
first_quarter_0164_10s,3,Highly Engage,,Engage,0.3333333333333333,0.8355861008167267
first_quarter_0169_10s,1,Disengage,,,None,None
first_quarter_0173_10s,2,Engage,,,None,None
first_quarter_0179_10s,2,Engage,,,None,None
first_quarter_0182_10s,2,Engage,,Engage,0.16666666666666666,0.6485747247934341
first_quarter_0185_10s,2,Engage,,Engage,0.5,0.6937669292092323
first_quarter_0186_10s,2,Engage,,Engage,1,0.6815987825393677
first_quarter_0187_10s,2,Engage,,Engage,0.16666666666666666,0.7464354485273361
first_quarter_0193_10s,2,Engage,,Engage,0.16666666666666666,0.7305614128708839
first_quarter_0194_10s,2,Engage,,,None,None
first_quarter_0208_10s,1,Disengage,,Disengage,0.5,0.6735285148024559
first_quarter_0211_10s,0,Highly Disengage,,Highly Engage,0.16666666666666666,0.6332102864980698
first_quarter_0213_10s,1,Disengage,,Engage,0.5,0.6722720712423325
first_quarter_0214_10s,2,Engage,,Engage,0.16666666666666666,0.735072672367096
first_quarter_0217_10s,2,Engage,,Disengage,0.5,0.8220820426940918
first_quarter_0218_10s,3,Highly Engage,,Highly Engage,0.16666666666666666,0.6841505020856857
first_quarter_0219_10s,2,Engage,,Engage,0.5,0.7501972168684006
first_quarter_0222_10s,2,Engage,,Engage,0.16666666666666666,0.7891160249710083
first_quarter_0228_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.7250554636120796
first_quarter_0229_10s,2,Engage,,Disengage,0.3333333333333333,0.7817500084638596
first_quarter_0230_10s,2,Engage,,Highly Disengage,0.16666666666666666,0.7382084354758263
first_quarter_0231_10s,3,Highly Engage,,,None,None
first_quarter_0235_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.6452586948871613
first_quarter_0237_10s,0,Highly Disengage,,Engage,0.5,0.6471341475844383
first_quarter_0238_10s,2,Engage,,,None,None
first_quarter_0244_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.6829678565263748
first_quarter_0246_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.6712683364748955
first_quarter_0247_10s,0,Highly Disengage,Delete,Highly Disengage,0.3333333333333333,0.6820147484540939
first_quarter_0250_10s,0,Highly Disengage,Delete,Disengage,0.5,0.5936183258891106
first_quarter_0252_10s,0,Highly Disengage,Delete,Disengage,0.13333333333333333,0.6268721868594488
first_quarter_0255_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.7168733030557632
first_quarter_0259_10s,0,Highly Disengage,Delete,Engage,0.5,0.7718040347099304
first_quarter_0260_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.7674333602190018
first_quarter_0261_10s,3,Highly Engage,,,None,None
first_quarter_0263_10s,3,Highly Engage,,,None,None
fourth_quarter_0001_10s,3,Highly Engage,,,None,None
fourth_quarter_0003_10s,2,Engage,,Engage,0.16666666666666666,0.6078346818685532
fourth_quarter_0004_10s,2,Engage,,Engage,0.16666666666666666,0.7393343299627304
fourth_quarter_0005_10s,3,Highly Engage,,,None,None
fourth_quarter_0006_10s,2,Engage,,Engage,0.5,0.7694931179285049
fourth_quarter_0007_10s,3,Highly Engage,,,None,None
fourth_quarter_0009_10s,2,Engage,,Engage,0.5,0.5805222019553185
fourth_quarter_0010_10s,0,Highly Disengage,,Highly Disengage,0.16666666666666666,0.7565262317657471
fourth_quarter_0011_10s,3,Highly Engage,,,None,None
fourth_quarter_0013_10s,2,Engage,,Disengage,0.13333333333333333,0.5963088770707449
fourth_quarter_0016_10s,2,Engage,,Engage,0.13333333333333333,0.5720059474309286
fourth_quarter_0019_10s,2,Engage,,Engage,0.5,0.6884696930646896
fourth_quarter_0020_10s,2,Engage,,Engage,0.5,0.7164313346147537
fourth_quarter_0021_10s,3,Highly Engage,,,None,None
fourth_quarter_0022_10s,3,Highly Engage,,,None,None
fourth_quarter_0023_10s,2,Engage,,Engage,0.5,0.718590684235096
fourth_quarter_0024_10s,0,Highly Disengage,Delete,Engage,0.5,0.6081744804978371
fourth_quarter_0026_10s,3,Highly Engage,,,None,None
fourth_quarter_0028_10s,3,Highly Engage,,Highly Engage,0.16666666666666666,0.667698360979557
fourth_quarter_0030_10s,2,Engage,,Disengage,0.16666666666666666,0.6764561533927917
fourth_quarter_0031_10s,2,Engage,,Engage,0.16666666666666666,0.6919102370738983
fourth_quarter_0032_10s,2,Engage,,,None,None
fourth_quarter_0033_10s,1,Disengage,,Disengage,0.5,0.6104574650526047
fourth_quarter_0034_10s,3,Highly Engage,,,None,None
fourth_quarter_0035_10s,3,Highly Engage,,,None,None
fourth_quarter_0036_10s,0,Highly Disengage,Delete,Highly Engage,0.16666666666666666,0.7071596533060074
fourth_quarter_0038_10s,2,Engage,,Engage,0.16666666666666666,0.7304936051368713
fourth_quarter_0047_10s,2,Engage,,Engage,0.16666666666666666,0.6383273378014565
fourth_quarter_0048_10s,2,Engage,,Disengage,0.3333333333333333,0.5590434074401855
fourth_quarter_0050_10s,2,Engage,,Engage,0.5,0.7239101007580757
fourth_quarter_0051_10s,3,Highly Engage,,,None,None
fourth_quarter_0052_10s,2,Engage,,Engage,0.5,0.8402840048074722
fourth_quarter_0053_10s,1,Disengage,,Engage,0.16666666666666666,0.6664369702339172
fourth_quarter_0065_10s,2,Engage,,,None,None
fourth_quarter_0066_10s,0,Highly Disengage,Delete,Engage,0.5,0.8741706311702728
fourth_quarter_0067_10s,1,Disengage,,Engage,0.5,0.7690746337175369
fourth_quarter_0068_10s,1,Disengage,,,None,None
fourth_quarter_0069_10s,2,Engage,,,None,None
fourth_quarter_0070_10s,3,Highly Engage,,,None,None
fourth_quarter_0071_10s,2,Engage,,Engage,0.5,0.7595343291759491
fourth_quarter_0072_10s,0,Highly Disengage,Delete,,None,None
fourth_quarter_0073_10s,2,Engage,,Engage,0.16666666666666666,0.5625055432319641
fourth_quarter_0074_10s,2,Engage,,Engage,0.16666666666666666,0.6621948480606079
fourth_quarter_0075_10s,3,Highly Engage,,,None,None
fourth_quarter_0076_10s,3,Highly Engage,,,None,None
fourth_quarter_0077_10s,3,Highly Engage,,,None,None
fourth_quarter_0078_10s,3,Highly Engage,,,None,None
fourth_quarter_0080_10s,3,Highly Engage,,,None,None
fourth_quarter_0081_10s,3,Highly Engage,,,None,None
fourth_quarter_0082_10s,3,Highly Engage,,,None,None
fourth_quarter_0083_10s,3,Highly Engage,,,None,None
fourth_quarter_0084_10s,3,Highly Engage,,,None,None
fourth_quarter_0085_10s,3,Highly Engage,,,None,None
fourth_quarter_0086_10s,3,Highly Engage,,,None,None
fourth_quarter_0087_10s,3,Highly Engage,,,None,None
fourth_quarter_0088_10s,3,Highly Engage,,,None,None
fourth_quarter_0089_10s,3,Highly Engage,,,None,None
fourth_quarter_0090_10s,2,Engage,,Engage,0.5,0.6482085883617401
fourth_quarter_0091_10s,2,Engage,,Disengage,0.3333333333333333,0.7439753413200378
fourth_quarter_0092_10s,3,Highly Engage,,,None,None
fourth_quarter_0093_10s,2,Engage,,Engage,0.16666666666666666,0.6878646463155746
fourth_quarter_0094_10s,2,Engage,,Disengage,0.3333333333333333,0.7463797703385353
fourth_quarter_0095_10s,2,Engage,,Disengage,0.3333333333333333,0.7456576228141785
fourth_quarter_0096_10s,2,Engage,,Engage,0.5,0.6667127758264542
fourth_quarter_0097_10s,2,Engage,,Engage,0.5,0.6578483730554581
fourth_quarter_0098_10s,1,Disengage,,Disengage,0.3333333333333333,0.5891702622175217
fourth_quarter_0101_10s,2,Engage,,Engage,0.5,0.7097817957401276
fourth_quarter_0103_10s,1,Disengage,,Disengage,0.3333333333333333,0.6418525278568268
fourth_quarter_0104_10s,2,Engage,,Engage,0.5,0.6623948067426682
fourth_quarter_0105_10s,3,Highly Engage,,,None,None
fourth_quarter_0106_10s,3,Highly Engage,,,None,None
fourth_quarter_0107_10s,3,Highly Engage,,,None,None
fourth_quarter_0109_10s,3,Highly Engage,,,None,None
fourth_quarter_0110_10s,3,Highly Engage,,,None,None
fourth_quarter_0111_10s,2,Engage,,Engage,0.16666666666666666,0.6508924812078476
fourth_quarter_0112_10s,2,Engage,,Engage,0.5,0.6111700162291527
fourth_quarter_0113_10s,2,Engage,,Disengage,0.3333333333333333,0.707301415503025
fourth_quarter_0114_10s,3,Highly Engage,,,None,None
fourth_quarter_0115_10s,3,Highly Engage,,,None,None
fourth_quarter_0119_10s,3,Highly Engage,,,None,None
fourth_quarter_0120_10s,3,Highly Engage,,,None,None
fourth_quarter_0121_10s,3,Highly Engage,,,None,None
fourth_quarter_0122_10s,3,Highly Engage,,,None,None
fourth_quarter_0123_10s,3,Highly Engage,,,None,None
fourth_quarter_0124_10s,2,Engage,,Engage,0.5,0.5806337520480156
fourth_quarter_0125_10s,2,Engage,,Engage,0.13333333333333333,0.6632174452145895
fourth_quarter_0126_10s,3,Highly Engage,,,None,None
fourth_quarter_0127_10s,3,Highly Engage,,,None,None
fourth_quarter_0128_10s,3,Highly Engage,,,None,None
fourth_quarter_0129_10s,3,Highly Engage,,,None,None
fourth_quarter_0130_10s,3,Highly Engage,,,None,None
fourth_quarter_0133_10s,3,Highly Engage,,,None,None
fourth_quarter_0136_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.73776975274086
fourth_quarter_0137_10s,3,Highly Engage,,,None,None
fourth_quarter_0138_10s,0,Highly Disengage,,Disengage,0.16666666666666666,0.690626248717308
fourth_quarter_0139_10s,0,Highly Disengage,,Engage,0.16666666666666666,0.7083861827850342
fourth_quarter_0152_10s,2,Engage,,Engage,0.5,0.6647836565971375
fourth_quarter_0153_10s,2,Engage,,,None,None
fourth_quarter_0154_10s,2,Engage,,Engage,0.5,0.5705644190311432
fourth_quarter_0158_10s,2,Engage,,Engage,0.5,0.6434332355856895
fourth_quarter_0160_10s,2,Engage,,,None,None
fourth_quarter_0163_10s,2,Engage,,Engage,0.16666666666666666,0.6265322864055634
fourth_quarter_0165_10s,3,Highly Engage,,,None,None
fourth_quarter_0166_10s,0,Highly Disengage,Delete,Engage,0.13333333333333333,0.6453832189242045
fourth_quarter_0167_10s,3,Highly Engage,,,None,None
fourth_quarter_0168_10s,2,Engage,,Highly Engage,0.16666666666666666,0.5787462219595909
fourth_quarter_0169_10s,0,Highly Disengage,,Highly Disengage,0,0.7060829401016235
fourth_quarter_0182_10s,3,Highly Engage,,,None,None
fourth_quarter_0183_10s,2,Engage,,Engage,0.5,0.7101464569568634
fourth_quarter_0184_10s,3,Highly Engage,,,None,None
fourth_quarter_0185_10s,1,Disengage,,Disengage,0.3333333333333333,0.7360872030258179
fourth_quarter_0186_10s,2,Engage,,Engage,0.5,0.8319206237792969
fourth_quarter_0188_10s,2,Engage,,Engage,0.5,0.6275752112269402
fourth_quarter_0193_10s,2,Engage,,Engage,0.5,0.5712792947888374
fourth_quarter_0194_10s,2,Engage,,Engage,0.5,0.7223691344261169
fourth_quarter_0195_10s,0,Highly Disengage,Delete,Disengage,0.13333333333333333,0.60987289249897
fourth_quarter_0196_10s,2,Engage,,Engage,0.16666666666666666,0.6600345075130463
fourth_quarter_0197_10s,1,Disengage,,Disengage,0.16666666666666666,0.6639829128980637
fourth_quarter_0211_10s,2,Engage,,Engage,0.16666666666666666,0.8073423504829407
fourth_quarter_0216_10s,2,Engage,,Engage,0.5,0.6572662964463234
fourth_quarter_0237_10s,2,Engage,,Engage,0.5,0.7651288956403732
fourth_quarter_0241_10s,0,Highly Disengage,Delete,Engage,1,0.8218300342559814
fourth_quarter_0244_10s,0,Highly Disengage,Delete,Engage,0.5,0.720378577709198
fourth_quarter_0245_10s,0,Highly Disengage,Delete,Engage,1,0.7993875592947006
fourth_quarter_0249_10s,2,Engage,,Engage,0.13333333333333333,0.629502589503924
fourth_quarter_0257_10s,0,Highly Disengage,Delete,Engage,0.5,0.7284321784973145
fourth_quarter_0264_10s,0,Highly Disengage,Delete,Engage,0.5,0.6742033585906029
second_quarter_0001_10s,2,Engage,,Engage,0.16666666666666666,0.6599943339824677
second_quarter_0003_10s,2,Engage,,Engage,0.5,0.8199511468410492
second_quarter_0005_10s,1,Disengage,,Engage,0.5,0.6202555894851685
second_quarter_0012_10s,2,Engage,,Engage,1,0.7856294214725494
second_quarter_0017_10s,2,Engage,,Engage,0.5,0.7623103111982346
second_quarter_0019_10s,2,Engage,,Engage,0.5,0.8646711856126785
second_quarter_0026_10s,2,Engage,,Engage,0.5,0.8513804525136948
second_quarter_0027_10s,2,Engage,,Engage,0.16666666666666666,0.7560372948646545
second_quarter_0028_10s,1,Disengage,,Highly Disengage,0,0.7578569203615189
second_quarter_0029_10s,1,Disengage,,Engage,0.3333333333333333,0.852721780538559
second_quarter_0030_10s,2,Engage,,Engage,0.5,0.8012742251157761
second_quarter_0033_10s,2,Engage,,Engage,0.16666666666666666,0.7748831510543823
second_quarter_0038_10s,2,Engage,,Engage,0.5,0.7685924619436264
second_quarter_0039_10s,1,Disengage,,Disengage,0.5,0.5645979270339012
second_quarter_0040_10s,3,Highly Engage,,,None,None
second_quarter_0042_10s,3,Highly Engage,,Highly Engage,0.16666666666666666,0.7590757310390472
second_quarter_0044_10s,0,Highly Disengage,Delete,Highly Disengage,0.13333333333333333,0.5820466130971909
second_quarter_0045_10s,2,Engage,,Engage,0.16666666666666666,0.7720485329627991
second_quarter_0046_10s,1,Disengage,,Highly Disengage,0,0.6847167313098907
second_quarter_0047_10s,2,Engage,,Engage,0.16666666666666666,0.8005810528993607
second_quarter_0053_10s,2,Engage,,Disengage,0.3333333333333333,0.7280388921499252
second_quarter_0055_10s,0,Highly Disengage,Delete,Engage,0.5,0.7362799197435379
second_quarter_0057_10s,2,Engage,,Highly Disengage,0,0.6893190816044807
second_quarter_0063_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.7032095864415169
second_quarter_0065_10s,2,Engage,,Engage,1,0.8689988404512405
second_quarter_0071_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.6753065586090088
second_quarter_0132_10s,2,Engage,,Disengage,0.13333333333333333,0.5374829222758611
second_quarter_0139_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.6168716996908188
second_quarter_0152_10s,2,Engage,,Engage,0.5,0.8119133859872818
second_quarter_0155_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.7058231458067894
second_quarter_0158_10s,3,Highly Engage,,Engage,0.16666666666666666,0.7529493570327759
second_quarter_0160_10s,0,Highly Disengage,Delete,Highly Disengage,0.5,0.714362271130085
second_quarter_0162_10s,2,Engage,,Engage,0.16666666666666666,0.7608502209186554
second_quarter_0165_10s,1,Disengage,,Disengage,0.13333333333333333,0.571071614821752
second_quarter_0169_10s,2,Engage,,Disengage,0.3333333333333333,0.7593626379966736
second_quarter_0171_10s,2,Engage,,Engage,0.5,0.8011532872915268
second_quarter_0181_10s,1,Disengage,,Engage,0.5,0.6485035717487335
second_quarter_0182_10s,2,Engage,,Engage,0.5,0.7995653450489044
second_quarter_0190_10s,2,Engage,,Disengage,0.13333333333333333,0.7499887843926748
second_quarter_0199_10s,3,Highly Engage,,Engage,0.16666666666666666,0.6198481693863869
second_quarter_0200_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.6439066305756569
second_quarter_0202_10s,2,Engage,,Engage,0.5,0.8850492686033249
second_quarter_0204_10s,0,Highly Disengage,Delete,Highly Disengage,0.13333333333333333,0.6410759190718333
second_quarter_0209_10s,2,Engage,,Engage,0.16666666666666666,0.7108318656682968
second_quarter_0210_10s,2,Engage,,Disengage,0.16666666666666666,0.6182820871472359
second_quarter_0211_10s,2,Engage,,,None,None
second_quarter_0212_10s,2,Engage,,Highly Disengage,0,0.7261958718299866
second_quarter_0213_10s,3,Highly Engage,,Highly Disengage,0.13333333333333333,0.6728604038556417
second_quarter_0215_10s,3,Highly Engage,,Engage,0.13333333333333333,0.5930793434381485
second_quarter_0217_10s,2,Engage,,Engage,0.5,0.6606517881155014
second_quarter_0224_10s,3,Highly Engage,,,None,None
second_quarter_0231_10s,1,Disengage,,Engage,0.16666666666666666,0.6767056882381439
second_quarter_0233_10s,0,Highly Disengage,,Engage,0.16666666666666666,0.5547512546181679
second_quarter_0234_10s,2,Engage,,Engage,0.5,0.8602972626686096
second_quarter_0235_10s,3,Highly Engage,,,None,None
second_quarter_0236_10s,3,Highly Engage,,Engage,0.16666666666666666,0.7032167166471481
second_quarter_0238_10s,3,Highly Engage,,,None,None
second_quarter_0239_10s,2,Engage,,,None,None
second_quarter_0240_10s,2,Engage,,Engage,0.16666666666666666,0.7926022112369537
second_quarter_0242_10s,0,Highly Disengage,Delete,Highly Disengage,0.16666666666666666,0.8560435026884079
second_quarter_0243_10s,0,Highly Disengage,Delete,Disengage,0.5,0.5911379083991051
second_quarter_0244_10s,0,Highly Disengage,Delete,Engage,0.5,0.8473429381847382
second_quarter_0246_10s,0,Highly Disengage,Delete,Disengage,0.3333333333333333,0.6241226494312286
second_quarter_0247_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.8921789079904556
second_quarter_0248_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.5972932353615761
second_quarter_0250_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.6672078892588615
second_quarter_0257_10s,0,Highly Disengage,Delete,Engage,0.5,0.7365379929542542
second_quarter_0263_10s,2,Engage,,Engage,0.5,0.7399918287992477
second_quarter_0265_10s,2,Engage,,Engage,0.16666666666666666,0.6561246067285538
second_quarter_0266_10s,3,Highly Engage,,,None,None
third_quarter_0001_10s,2,Engage,,,None,None
third_quarter_0002_10s,1,Disengage,,Disengage,0.3333333333333333,0.6542460918426514
third_quarter_0003_10s,3,Highly Engage,,,None,None
third_quarter_0005_10s,3,Highly Engage,,,None,None
third_quarter_0007_10s,3,Highly Engage,,Engage,0.13333333333333333,0.5905621846516927
third_quarter_0008_10s,2,Engage,,Engage,0.16666666666666666,0.7638622969388962
third_quarter_0009_10s,2,Engage,,Engage,0.16666666666666666,0.6926213204860687
third_quarter_0011_10s,3,Highly Engage,,Engage,0.13333333333333333,0.5770716667175293
third_quarter_0012_10s,2,Engage,,,None,None
third_quarter_0013_10s,1,Disengage,,Disengage,0.3333333333333333,0.7471451610326767
third_quarter_0016_10s,0,Highly Disengage,Delete,Disengage,0.5,0.6152616888284683
third_quarter_0021_10s,2,Engage,,Engage,0.16666666666666666,0.617069661617279
third_quarter_0022_10s,2,Engage,,Engage,0.5,0.6212418526411057
third_quarter_0023_10s,2,Engage,,Disengage,0.3333333333333333,0.7245416045188904
third_quarter_0025_10s,2,Engage,,Engage,0.16666666666666666,0.7732334434986115
third_quarter_0026_10s,2,Engage,,Engage,0.5,0.664524182677269
third_quarter_0030_10s,2,Engage,,Engage,0.16666666666666666,0.7692198678851128
third_quarter_0031_10s,2,Engage,,Engage,0.5,0.6932888627052307
third_quarter_0034_10s,2,Engage,,Engage,0.16666666666666666,0.5528021827340126
third_quarter_0035_10s,3,Highly Engage,,Disengage,0.13333333333333333,0.5117009629805883
third_quarter_0036_10s,0,Highly Disengage,Delete,Engage,0.5,0.5739865452051163
third_quarter_0037_10s,2,Engage,,Engage,0.5,0.7210730910301208
third_quarter_0038_10s,3,Highly Engage,,Engage,0.5,0.752224013209343
third_quarter_0039_10s,2,Engage,,Engage,0.5,0.6802757754921913
third_quarter_0040_10s,2,Engage,,Engage,0.5,0.8102570921182632
third_quarter_0042_10s,2,Engage,,Engage,0.5,0.906527042388916
third_quarter_0044_10s,2,Engage,,Engage,0.5,0.9169048070907593
third_quarter_0046_10s,3,Highly Engage,,Engage,0.5,0.7920545339584351
third_quarter_0047_10s,3,Highly Engage,,Engage,0.16666666666666666,0.727372020483017
third_quarter_0048_10s,2,Engage,,Engage,0.16666666666666666,0.7948576509952545
third_quarter_0049_10s,2,Engage,,Highly Engage,0.16666666666666666,0.7489955127239227
third_quarter_0051_10s,3,Highly Engage,,Engage,0.5,0.6620350405573845
third_quarter_0054_10s,2,Engage,,Engage,0.16666666666666666,0.7058231756091118
third_quarter_0055_10s,2,Engage,,Disengage,0.3333333333333333,0.6336524337530136
third_quarter_0056_10s,2,Engage,,Engage,0.5,0.7256859466433525
third_quarter_0059_10s,2,Engage,,Engage,0.5,0.9020243436098099
third_quarter_0061_10s,2,Engage,,Engage,0.5,0.8665002584457397
third_quarter_0064_10s,3,Highly Engage,,Engage,0.5,0.6931544691324234
third_quarter_0066_10s,0,Highly Disengage,Delete,Engage,0.5,0.7584102228283882
third_quarter_0067_10s,2,Engage,,Engage,0.5,0.707701563835144
third_quarter_0068_10s,2,Engage,,Engage,0.5,0.735759049654007
third_quarter_0069_10s,2,Engage,,Engage,0.5,0.7692282497882843
third_quarter_0070_10s,2,Engage,,Engage,0.3333333333333333,0.6432875543832779
third_quarter_0072_10s,2,Engage,,Engage,0.16666666666666666,0.7730802744626999
third_quarter_0073_10s,2,Engage,,Engage,0.5,0.6872798204421997
third_quarter_0074_10s,2,Engage,,Engage,0.16666666666666666,0.6564594581723213
third_quarter_0075_10s,3,Highly Engage,,Engage,0.16666666666666666,0.6473626121878624
third_quarter_0076_10s,2,Engage,,Highly Disengage,0,0.6463852748274803
third_quarter_0078_10s,3,Highly Engage,,Highly Engage,0.16666666666666666,0.5796689093112946
third_quarter_0079_10s,3,Highly Engage,,Engage,0.5,0.6990669518709183
third_quarter_0080_10s,3,Highly Engage,,Highly Engage,0.16666666666666666,0.6566598564386368
third_quarter_0081_10s,3,Highly Engage,,Highly Disengage,0.13333333333333333,0.6668259551127752
third_quarter_0084_10s,2,Engage,,Engage,0.16666666666666666,0.7246098965406418
third_quarter_0085_10s,2,Engage,,Highly Engage,0.5,0.6860284060239792
third_quarter_0086_10s,2,Engage,,Engage,0.16666666666666666,0.7091526538133621
third_quarter_0087_10s,1,Disengage,,Disengage,0.13333333333333333,0.5797794610261917
third_quarter_0088_10s,3,Highly Engage,,Engage,0.5,0.7581742703914642
third_quarter_0089_10s,3,Highly Engage,,,None,None
third_quarter_0090_10s,3,Highly Engage,,,None,None
third_quarter_0092_10s,3,Highly Engage,,Engage,0.16666666666666666,0.7052749544382095
third_quarter_0093_10s,3,Highly Engage,,Engage,0.5,0.6844330579042435
third_quarter_0094_10s,3,Highly Engage,,Engage,0.5,0.7013954818248749
third_quarter_0095_10s,3,Highly Engage,,Engage,0.5,0.6751659065485001
third_quarter_0097_10s,3,Highly Engage,,Engage,0.16666666666666666,0.7170993089675903
third_quarter_0098_10s,3,Highly Engage,,Engage,0.16666666666666666,0.6813563257455826
third_quarter_0100_10s,3,Highly Engage,,,None,None
third_quarter_0101_10s,3,Highly Engage,,Engage,0.16666666666666666,0.699568398296833
third_quarter_0102_10s,3,Highly Engage,,Highly Disengage,0.13333333333333333,0.625404879450798
third_quarter_0103_10s,2,Engage,,Highly Engage,0.5,0.709411233663559
third_quarter_0104_10s,2,Engage,,,None,None
third_quarter_0105_10s,2,Engage,,Highly Disengage,0.13333333333333333,0.6225617180267969
third_quarter_0106_10s,3,Highly Engage,,Engage,0.5,0.6786391213536263
third_quarter_0107_10s,2,Engage,,Engage,0.16666666666666666,0.7267677038908005
third_quarter_0110_10s,3,Highly Engage,,Highly Disengage,0.13333333333333333,0.6477953841288885
third_quarter_0112_10s,3,Highly Engage,,Engage,0.5,0.6287711411714554
third_quarter_0115_10s,3,Highly Engage,,Engage,0.5,0.6416681781411171
third_quarter_0116_10s,0,Highly Disengage,,Engage,0.16666666666666666,0.7529628723859787
third_quarter_0117_10s,2,Engage,,Engage,0.16666666666666666,0.7683839723467827
third_quarter_0118_10s,2,Engage,,Engage,0.16666666666666666,0.7504310458898544
third_quarter_0119_10s,2,Engage,,Engage,0.16666666666666666,0.7939358502626419
third_quarter_0120_10s,2,Engage,,Engage,0.16666666666666666,0.7155591249465942
third_quarter_0122_10s,3,Highly Engage,,Engage,0.16666666666666666,0.7079729214310646
third_quarter_0123_10s,2,Engage,,Engage,0.16666666666666666,0.70589679479599
third_quarter_0124_10s,1,Disengage,,Engage,0.16666666666666666,0.7438067272305489
third_quarter_0125_10s,0,Highly Disengage,Delete,Engage,0.16666666666666666,0.7961271554231644
third_quarter_0126_10s,2,Engage,,Engage,0.5,0.7248454093933105
third_quarter_0127_10s,2,Engage,,Highly Disengage,0.16666666666666666,0.6951874941587448
third_quarter_0128_10s,3,Highly Engage,,Engage,0.5,0.714500680565834
third_quarter_0129_10s,2,Engage,,Engage,0.16666666666666666,0.6810723468661308
third_quarter_0130_10s,2,Engage,,Engage,0.5,0.6973042339086533
third_quarter_0131_10s,2,Engage,,Engage,0.5,0.8311459124088287
third_quarter_0132_10s,0,Highly Disengage,,Engage,0.16666666666666666,0.7621564418077469
third_quarter_0133_10s,2,Engage,,Engage,0.5,0.8922539949417114
third_quarter_0134_10s,2,Engage,,Engage,0.5,0.6984067484736443
third_quarter_0135_10s,2,Engage,,Engage,0.16666666666666666,0.7645432353019714
third_quarter_0137_10s,2,Engage,,Engage,0.16666666666666666,0.6875051930546761
third_quarter_0138_10s,2,Engage,,Engage,0.5,0.7767443209886551
third_quarter_0139_10s,2,Engage,,Engage,0.16666666666666666,0.7167948856949806
