clip_id,clip_path,openface_csv,is_accepted,reject_reason
first_quarter_0150_10s,data\private\clips\first_quarter_0150_10s.mp4,data\private\features\openface\first_quarter_0150_10s.csv,0,too_few_success_frames
first_quarter_0151_10s,data\private\clips\first_quarter_0151_10s.mp4,data\private\features\openface\first_quarter_0151_10s.csv,1,
first_quarter_0152_10s,data\private\clips\first_quarter_0152_10s.mp4,data\private\features\openface\first_quarter_0152_10s.csv,1,
first_quarter_0153_10s,data\private\clips\first_quarter_0153_10s.mp4,data\private\features\openface\first_quarter_0153_10s.csv,0,low_success_ratio
first_quarter_0154_10s,data\private\clips\first_quarter_0154_10s.mp4,data\private\features\openface\first_quarter_0154_10s.csv,0,too_few_success_frames
first_quarter_0155_10s,data\private\clips\first_quarter_0155_10s.mp4,data\private\features\openface\first_quarter_0155_10s.csv,0,too_few_success_frames
first_quarter_0156_10s,data\private\clips\first_quarter_0156_10s.mp4,data\private\features\openface\first_quarter_0156_10s.csv,1,
first_quarter_0157_10s,data\private\clips\first_quarter_0157_10s.mp4,data\private\features\openface\first_quarter_0157_10s.csv,1,
first_quarter_0159_10s,data\private\clips\first_quarter_0159_10s.mp4,data\private\features\openface\first_quarter_0159_10s.csv,0,too_few_success_frames
first_quarter_0161_10s,data\private\clips\first_quarter_0161_10s.mp4,data\private\features\openface\first_quarter_0161_10s.csv,0,too_few_success_frames
first_quarter_0163_10s,data\private\clips\first_quarter_0163_10s.mp4,data\private\features\openface\first_quarter_0163_10s.csv,1,
first_quarter_0164_10s,data\private\clips\first_quarter_0164_10s.mp4,data\private\features\openface\first_quarter_0164_10s.csv,1,
first_quarter_0165_10s,data\private\clips\first_quarter_0165_10s.mp4,data\private\features\openface\first_quarter_0165_10s.csv,0,too_few_success_frames
first_quarter_0167_10s,data\private\clips\first_quarter_0167_10s.mp4,data\private\features\openface\first_quarter_0167_10s.csv,0,too_few_success_frames
first_quarter_0168_10s,data\private\clips\first_quarter_0168_10s.mp4,data\private\features\openface\first_quarter_0168_10s.csv,0,too_few_success_frames
first_quarter_0169_10s,data\private\clips\first_quarter_0169_10s.mp4,data\private\features\openface\first_quarter_0169_10s.csv,1,
first_quarter_0170_10s,data\private\clips\first_quarter_0170_10s.mp4,data\private\features\openface\first_quarter_0170_10s.csv,0,low_success_ratio
first_quarter_0171_10s,data\private\clips\first_quarter_0171_10s.mp4,data\private\features\openface\first_quarter_0171_10s.csv,0,too_few_success_frames
first_quarter_0173_10s,data\private\clips\first_quarter_0173_10s.mp4,data\private\features\openface\first_quarter_0173_10s.csv,1,
first_quarter_0174_10s,data\private\clips\first_quarter_0174_10s.mp4,data\private\features\openface\first_quarter_0174_10s.csv,0,too_few_success_frames
first_quarter_0175_10s,data\private\clips\first_quarter_0175_10s.mp4,data\private\features\openface\first_quarter_0175_10s.csv,0,too_few_success_frames
first_quarter_0177_10s,data\private\clips\first_quarter_0177_10s.mp4,data\private\features\openface\first_quarter_0177_10s.csv,0,too_few_success_frames
first_quarter_0178_10s,data\private\clips\first_quarter_0178_10s.mp4,data\private\features\openface\first_quarter_0178_10s.csv,0,too_few_success_frames
first_quarter_0179_10s,data\private\clips\first_quarter_0179_10s.mp4,data\private\features\openface\first_quarter_0179_10s.csv,1,
first_quarter_0181_10s,data\private\clips\first_quarter_0181_10s.mp4,data\private\features\openface\first_quarter_0181_10s.csv,0,too_few_success_frames
first_quarter_0182_10s,data\private\clips\first_quarter_0182_10s.mp4,data\private\features\openface\first_quarter_0182_10s.csv,1,
first_quarter_0183_10s,data\private\clips\first_quarter_0183_10s.mp4,data\private\features\openface\first_quarter_0183_10s.csv,0,too_few_success_frames
first_quarter_0185_10s,data\private\clips\first_quarter_0185_10s.mp4,data\private\features\openface\first_quarter_0185_10s.csv,1,
first_quarter_0186_10s,data\private\clips\first_quarter_0186_10s.mp4,data\private\features\openface\first_quarter_0186_10s.csv,1,
first_quarter_0187_10s,data\private\clips\first_quarter_0187_10s.mp4,data\private\features\openface\first_quarter_0187_10s.csv,1,
first_quarter_0189_10s,data\private\clips\first_quarter_0189_10s.mp4,data\private\features\openface\first_quarter_0189_10s.csv,0,too_few_success_frames
first_quarter_0190_10s,data\private\clips\first_quarter_0190_10s.mp4,data\private\features\openface\first_quarter_0190_10s.csv,0,too_few_success_frames
first_quarter_0191_10s,data\private\clips\first_quarter_0191_10s.mp4,data\private\features\openface\first_quarter_0191_10s.csv,0,too_few_success_frames
first_quarter_0193_10s,data\private\clips\first_quarter_0193_10s.mp4,data\private\features\openface\first_quarter_0193_10s.csv,1,
first_quarter_0194_10s,data\private\clips\first_quarter_0194_10s.mp4,data\private\features\openface\first_quarter_0194_10s.csv,1,
first_quarter_0196_10s,data\private\clips\first_quarter_0196_10s.mp4,data\private\features\openface\first_quarter_0196_10s.csv,0,too_few_success_frames
first_quarter_0198_10s,data\private\clips\first_quarter_0198_10s.mp4,data\private\features\openface\first_quarter_0198_10s.csv,0,too_few_success_frames
first_quarter_0199_10s,data\private\clips\first_quarter_0199_10s.mp4,data\private\features\openface\first_quarter_0199_10s.csv,0,too_few_success_frames
first_quarter_0202_10s,data\private\clips\first_quarter_0202_10s.mp4,data\private\features\openface\first_quarter_0202_10s.csv,0,too_few_success_frames
first_quarter_0203_10s,data\private\clips\first_quarter_0203_10s.mp4,data\private\features\openface\first_quarter_0203_10s.csv,0,too_few_success_frames
first_quarter_0204_10s,data\private\clips\first_quarter_0204_10s.mp4,data\private\features\openface\first_quarter_0204_10s.csv,0,too_few_success_frames
first_quarter_0205_10s,data\private\clips\first_quarter_0205_10s.mp4,data\private\features\openface\first_quarter_0205_10s.csv,0,too_few_success_frames
first_quarter_0206_10s,data\private\clips\first_quarter_0206_10s.mp4,data\private\features\openface\first_quarter_0206_10s.csv,0,too_few_success_frames
first_quarter_0207_10s,data\private\clips\first_quarter_0207_10s.mp4,data\private\features\openface\first_quarter_0207_10s.csv,0,too_few_success_frames
first_quarter_0208_10s,data\private\clips\first_quarter_0208_10s.mp4,data\private\features\openface\first_quarter_0208_10s.csv,1,
first_quarter_0209_10s,data\private\clips\first_quarter_0209_10s.mp4,data\private\features\openface\first_quarter_0209_10s.csv,0,too_few_success_frames
first_quarter_0210_10s,data\private\clips\first_quarter_0210_10s.mp4,data\private\features\openface\first_quarter_0210_10s.csv,0,low_success_ratio
first_quarter_0211_10s,data\private\clips\first_quarter_0211_10s.mp4,data\private\features\openface\first_quarter_0211_10s.csv,1,
first_quarter_0212_10s,data\private\clips\first_quarter_0212_10s.mp4,data\private\features\openface\first_quarter_0212_10s.csv,0,too_few_success_frames
first_quarter_0213_10s,data\private\clips\first_quarter_0213_10s.mp4,data\private\features\openface\first_quarter_0213_10s.csv,1,
first_quarter_0214_10s,data\private\clips\first_quarter_0214_10s.mp4,data\private\features\openface\first_quarter_0214_10s.csv,1,
first_quarter_0215_10s,data\private\clips\first_quarter_0215_10s.mp4,data\private\features\openface\first_quarter_0215_10s.csv,0,too_few_success_frames
first_quarter_0217_10s,data\private\clips\first_quarter_0217_10s.mp4,data\private\features\openface\first_quarter_0217_10s.csv,1,
first_quarter_0218_10s,data\private\clips\first_quarter_0218_10s.mp4,data\private\features\openface\first_quarter_0218_10s.csv,1,
first_quarter_0219_10s,data\private\clips\first_quarter_0219_10s.mp4,data\private\features\openface\first_quarter_0219_10s.csv,1,
first_quarter_0221_10s,data\private\clips\first_quarter_0221_10s.mp4,data\private\features\openface\first_quarter_0221_10s.csv,0,too_few_success_frames
first_quarter_0222_10s,data\private\clips\first_quarter_0222_10s.mp4,data\private\features\openface\first_quarter_0222_10s.csv,1,
first_quarter_0223_10s,data\private\clips\first_quarter_0223_10s.mp4,data\private\features\openface\first_quarter_0223_10s.csv,0,too_few_success_frames
first_quarter_0224_10s,data\private\clips\first_quarter_0224_10s.mp4,data\private\features\openface\first_quarter_0224_10s.csv,0,too_few_success_frames
first_quarter_0225_10s,data\private\clips\first_quarter_0225_10s.mp4,data\private\features\openface\first_quarter_0225_10s.csv,0,too_few_success_frames
first_quarter_0226_10s,data\private\clips\first_quarter_0226_10s.mp4,data\private\features\openface\first_quarter_0226_10s.csv,0,too_few_success_frames
first_quarter_0227_10s,data\private\clips\first_quarter_0227_10s.mp4,data\private\features\openface\first_quarter_0227_10s.csv,0,too_few_success_frames
first_quarter_0228_10s,data\private\clips\first_quarter_0228_10s.mp4,data\private\features\openface\first_quarter_0228_10s.csv,1,
first_quarter_0229_10s,data\private\clips\first_quarter_0229_10s.mp4,data\private\features\openface\first_quarter_0229_10s.csv,1,
first_quarter_0230_10s,data\private\clips\first_quarter_0230_10s.mp4,data\private\features\openface\first_quarter_0230_10s.csv,1,
first_quarter_0231_10s,data\private\clips\first_quarter_0231_10s.mp4,data\private\features\openface\first_quarter_0231_10s.csv,1,
first_quarter_0233_10s,data\private\clips\first_quarter_0233_10s.mp4,data\private\features\openface\first_quarter_0233_10s.csv,0,too_few_success_frames
first_quarter_0234_10s,data\private\clips\first_quarter_0234_10s.mp4,data\private\features\openface\first_quarter_0234_10s.csv,0,too_few_success_frames
first_quarter_0235_10s,data\private\clips\first_quarter_0235_10s.mp4,data\private\features\openface\first_quarter_0235_10s.csv,1,
first_quarter_0236_10s,data\private\clips\first_quarter_0236_10s.mp4,data\private\features\openface\first_quarter_0236_10s.csv,0,too_few_success_frames
first_quarter_0237_10s,data\private\clips\first_quarter_0237_10s.mp4,data\private\features\openface\first_quarter_0237_10s.csv,1,
first_quarter_0238_10s,data\private\clips\first_quarter_0238_10s.mp4,data\private\features\openface\first_quarter_0238_10s.csv,1,
first_quarter_0241_10s,data\private\clips\first_quarter_0241_10s.mp4,data\private\features\openface\first_quarter_0241_10s.csv,0,too_few_success_frames
first_quarter_0244_10s,data\private\clips\first_quarter_0244_10s.mp4,data\private\features\openface\first_quarter_0244_10s.csv,1,
first_quarter_0245_10s,data\private\clips\first_quarter_0245_10s.mp4,data\private\features\openface\first_quarter_0245_10s.csv,0,low_success_ratio
first_quarter_0246_10s,data\private\clips\first_quarter_0246_10s.mp4,data\private\features\openface\first_quarter_0246_10s.csv,1,
first_quarter_0247_10s,data\private\clips\first_quarter_0247_10s.mp4,data\private\features\openface\first_quarter_0247_10s.csv,1,
first_quarter_0248_10s,data\private\clips\first_quarter_0248_10s.mp4,data\private\features\openface\first_quarter_0248_10s.csv,0,too_few_success_frames
first_quarter_0250_10s,data\private\clips\first_quarter_0250_10s.mp4,data\private\features\openface\first_quarter_0250_10s.csv,1,
first_quarter_0251_10s,data\private\clips\first_quarter_0251_10s.mp4,data\private\features\openface\first_quarter_0251_10s.csv,0,low_success_ratio
first_quarter_0252_10s,data\private\clips\first_quarter_0252_10s.mp4,data\private\features\openface\first_quarter_0252_10s.csv,1,
first_quarter_0253_10s,data\private\clips\first_quarter_0253_10s.mp4,data\private\features\openface\first_quarter_0253_10s.csv,0,low_success_ratio
first_quarter_0254_10s,data\private\clips\first_quarter_0254_10s.mp4,data\private\features\openface\first_quarter_0254_10s.csv,0,low_success_ratio
first_quarter_0255_10s,data\private\clips\first_quarter_0255_10s.mp4,data\private\features\openface\first_quarter_0255_10s.csv,1,
first_quarter_0256_10s,data\private\clips\first_quarter_0256_10s.mp4,data\private\features\openface\first_quarter_0256_10s.csv,0,too_few_success_frames
first_quarter_0258_10s,data\private\clips\first_quarter_0258_10s.mp4,data\private\features\openface\first_quarter_0258_10s.csv,0,low_success_ratio
first_quarter_0259_10s,data\private\clips\first_quarter_0259_10s.mp4,data\private\features\openface\first_quarter_0259_10s.csv,1,
first_quarter_0260_10s,data\private\clips\first_quarter_0260_10s.mp4,data\private\features\openface\first_quarter_0260_10s.csv,1,
first_quarter_0261_10s,data\private\clips\first_quarter_0261_10s.mp4,data\private\features\openface\first_quarter_0261_10s.csv,1,
first_quarter_0262_10s,data\private\clips\first_quarter_0262_10s.mp4,data\private\features\openface\first_quarter_0262_10s.csv,0,too_few_success_frames
first_quarter_0263_10s,data\private\clips\first_quarter_0263_10s.mp4,data\private\features\openface\first_quarter_0263_10s.csv,1,
first_quarter_0264_10s,data\private\clips\first_quarter_0264_10s.mp4,data\private\features\openface\first_quarter_0264_10s.csv,0,too_few_success_frames
first_quarter_0265_10s,data\private\clips\first_quarter_0265_10s.mp4,data\private\features\openface\first_quarter_0265_10s.csv,0,too_few_success_frames
first_quarter_0266_10s,data\private\clips\first_quarter_0266_10s.mp4,data\private\features\openface\first_quarter_0266_10s.csv,0,too_few_success_frames
fourth_quarter_0001_10s,data\private\clips\fourth_quarter_0001_10s.mp4,data\private\features\openface\fourth_quarter_0001_10s.csv,1,
fourth_quarter_0002_10s,data\private\clips\fourth_quarter_0002_10s.mp4,data\private\features\openface\fourth_quarter_0002_10s.csv,0,too_few_success_frames
fourth_quarter_0003_10s,data\private\clips\fourth_quarter_0003_10s.mp4,data\private\features\openface\fourth_quarter_0003_10s.csv,1,
fourth_quarter_0004_10s,data\private\clips\fourth_quarter_0004_10s.mp4,data\private\features\openface\fourth_quarter_0004_10s.csv,1,
fourth_quarter_0005_10s,data\private\clips\fourth_quarter_0005_10s.mp4,data\private\features\openface\fourth_quarter_0005_10s.csv,1,
fourth_quarter_0006_10s,data\private\clips\fourth_quarter_0006_10s.mp4,data\private\features\openface\fourth_quarter_0006_10s.csv,1,
fourth_quarter_0007_10s,data\private\clips\fourth_quarter_0007_10s.mp4,data\private\features\openface\fourth_quarter_0007_10s.csv,1,
fourth_quarter_0009_10s,data\private\clips\fourth_quarter_0009_10s.mp4,data\private\features\openface\fourth_quarter_0009_10s.csv,1,
fourth_quarter_0010_10s,data\private\clips\fourth_quarter_0010_10s.mp4,data\private\features\openface\fourth_quarter_0010_10s.csv,1,
fourth_quarter_0011_10s,data\private\clips\fourth_quarter_0011_10s.mp4,data\private\features\openface\fourth_quarter_0011_10s.csv,1,
fourth_quarter_0012_10s,data\private\clips\fourth_quarter_0012_10s.mp4,data\private\features\openface\fourth_quarter_0012_10s.csv,0,too_few_success_frames
fourth_quarter_0013_10s,data\private\clips\fourth_quarter_0013_10s.mp4,data\private\features\openface\fourth_quarter_0013_10s.csv,1,
fourth_quarter_0016_10s,data\private\clips\fourth_quarter_0016_10s.mp4,data\private\features\openface\fourth_quarter_0016_10s.csv,1,
fourth_quarter_0018_10s,data\private\clips\fourth_quarter_0018_10s.mp4,data\private\features\openface\fourth_quarter_0018_10s.csv,0,too_few_success_frames
fourth_quarter_0019_10s,data\private\clips\fourth_quarter_0019_10s.mp4,data\private\features\openface\fourth_quarter_0019_10s.csv,1,
fourth_quarter_0020_10s,data\private\clips\fourth_quarter_0020_10s.mp4,data\private\features\openface\fourth_quarter_0020_10s.csv,1,
fourth_quarter_0021_10s,data\private\clips\fourth_quarter_0021_10s.mp4,data\private\features\openface\fourth_quarter_0021_10s.csv,1,
fourth_quarter_0022_10s,data\private\clips\fourth_quarter_0022_10s.mp4,data\private\features\openface\fourth_quarter_0022_10s.csv,1,
fourth_quarter_0023_10s,data\private\clips\fourth_quarter_0023_10s.mp4,data\private\features\openface\fourth_quarter_0023_10s.csv,1,
fourth_quarter_0024_10s,data\private\clips\fourth_quarter_0024_10s.mp4,data\private\features\openface\fourth_quarter_0024_10s.csv,1,
fourth_quarter_0025_10s,data\private\clips\fourth_quarter_0025_10s.mp4,data\private\features\openface\fourth_quarter_0025_10s.csv,0,low_success_ratio
fourth_quarter_0026_10s,data\private\clips\fourth_quarter_0026_10s.mp4,data\private\features\openface\fourth_quarter_0026_10s.csv,1,
fourth_quarter_0027_10s,data\private\clips\fourth_quarter_0027_10s.mp4,data\private\features\openface\fourth_quarter_0027_10s.csv,0,too_few_success_frames
fourth_quarter_0028_10s,data\private\clips\fourth_quarter_0028_10s.mp4,data\private\features\openface\fourth_quarter_0028_10s.csv,1,
fourth_quarter_0030_10s,data\private\clips\fourth_quarter_0030_10s.mp4,data\private\features\openface\fourth_quarter_0030_10s.csv,1,
fourth_quarter_0031_10s,data\private\clips\fourth_quarter_0031_10s.mp4,data\private\features\openface\fourth_quarter_0031_10s.csv,1,
fourth_quarter_0032_10s,data\private\clips\fourth_quarter_0032_10s.mp4,data\private\features\openface\fourth_quarter_0032_10s.csv,1,
fourth_quarter_0033_10s,data\private\clips\fourth_quarter_0033_10s.mp4,data\private\features\openface\fourth_quarter_0033_10s.csv,1,
fourth_quarter_0034_10s,data\private\clips\fourth_quarter_0034_10s.mp4,data\private\features\openface\fourth_quarter_0034_10s.csv,1,
fourth_quarter_0035_10s,data\private\clips\fourth_quarter_0035_10s.mp4,data\private\features\openface\fourth_quarter_0035_10s.csv,1,
fourth_quarter_0036_10s,data\private\clips\fourth_quarter_0036_10s.mp4,data\private\features\openface\fourth_quarter_0036_10s.csv,1,
fourth_quarter_0037_10s,data\private\clips\fourth_quarter_0037_10s.mp4,data\private\features\openface\fourth_quarter_0037_10s.csv,0,too_few_success_frames
fourth_quarter_0038_10s,data\private\clips\fourth_quarter_0038_10s.mp4,data\private\features\openface\fourth_quarter_0038_10s.csv,1,
fourth_quarter_0040_10s,data\private\clips\fourth_quarter_0040_10s.mp4,data\private\features\openface\fourth_quarter_0040_10s.csv,0,too_few_success_frames
