method,feature_set,sample_id,dataset,x,y
tsne,OpenFace,first_quarter_0169_10s,private,39.197715759277344,-15.168850898742676
tsne,OpenFace,first_quarter_0173_10s,private,23.2550048828125,-9.718304634094238
tsne,OpenFace,first_quarter_0179_10s,private,20.378925323486328,1.7763763666152954
tsne,OpenFace,first_quarter_0182_10s,private,41.26361846923828,-15.66292667388916
tsne,OpenFace,first_quarter_0185_10s,private,39.26911544799805,-1.933592677116394
tsne,OpenFace,first_quarter_0186_10s,private,18.280414581298828,-14.203056335449219
tsne,OpenFace,first_quarter_0187_10s,private,43.61015319824219,-8.376134872436523
tsne,OpenFace,first_quarter_0193_10s,private,43.43037033081055,-8.744120597839355
tsne,OpenFace,first_quarter_0194_10s,private,17.65175437927246,-2.525115728378296
tsne,OpenFace,first_quarter_0208_10s,private,52.410316467285156,5.356355667114258
tsne,OpenFace,first_quarter_0211_10s,private,22.866666793823242,4.0773749351501465
tsne,OpenFace,first_quarter_0213_10s,private,23.028871536254883,-20.320816040039062
tsne,OpenFace,first_quarter_0214_10s,private,21.244333267211914,-20.335107803344727
tsne,OpenFace,first_quarter_0217_10s,private,26.107254028320312,5.505284309387207
tsne,OpenFace,first_quarter_0218_10s,private,24.723913192749023,2.6452386379241943
tsne,OpenFace,first_quarter_0219_10s,private,17.316905975341797,6.292619228363037
tsne,OpenFace,first_quarter_0222_10s,private,32.98524856567383,-0.4860810935497284
tsne,OpenFace,first_quarter_0228_10s,private,45.52436065673828,-12.641722679138184
tsne,OpenFace,first_quarter_0229_10s,private,17.31298828125,7.155102729797363
tsne,OpenFace,first_quarter_0230_10s,private,24.53156280517578,-12.450602531433105
tsne,OpenFace,first_quarter_0231_10s,private,20.109460830688477,-3.651057243347168
tsne,OpenFace,first_quarter_0235_10s,private,22.016632080078125,-20.41579246520996
tsne,OpenFace,first_quarter_0237_10s,private,46.92825698852539,4.067817211151123
tsne,OpenFace,first_quarter_0238_10s,private,43.77360534667969,4.301900386810303
tsne,OpenFace,first_quarter_0244_10s,private,24.11899185180664,-7.956887245178223
tsne,OpenFace,first_quarter_0246_10s,private,23.020044326782227,-19.962175369262695
tsne,OpenFace,first_quarter_0247_10s,private,21.022615432739258,-21.01087760925293
tsne,OpenFace,first_quarter_0250_10s,private,26.670076370239258,6.313785076141357
tsne,OpenFace,first_quarter_0252_10s,private,20.464570999145508,3.723553419113159
tsne,OpenFace,first_quarter_0255_10s,private,23.412445068359375,-15.035111427307129
tsne,OpenFace,first_quarter_0259_10s,private,23.53304672241211,-15.0127534866333
tsne,OpenFace,first_quarter_0260_10s,private,45.046043395996094,-14.316827774047852
tsne,OpenFace,first_quarter_0261_10s,private,19.228639602661133,8.164101600646973
tsne,OpenFace,first_quarter_0263_10s,private,20.636581420898438,-3.1533491611480713
tsne,OpenFace,fourth_quarter_0001_10s,private,32.198246002197266,2.2943599224090576
tsne,OpenFace,fourth_quarter_0003_10s,private,17.66482162475586,-24.1729679107666
tsne,OpenFace,fourth_quarter_0004_10s,private,46.249385833740234,9.988875389099121
tsne,OpenFace,fourth_quarter_0005_10s,private,34.29724884033203,2.517573595046997
tsne,OpenFace,fourth_quarter_0006_10s,private,36.699459075927734,-12.030261993408203
tsne,OpenFace,fourth_quarter_0007_10s,private,16.360008239746094,13.920740127563477
tsne,OpenFace,fourth_quarter_0009_10s,private,23.916837692260742,2.20084810256958
tsne,OpenFace,fourth_quarter_0010_10s,private,34.01179122924805,7.540817737579346
tsne,OpenFace,fourth_quarter_0011_10s,private,51.83745574951172,1.8355168104171753
tsne,OpenFace,fourth_quarter_0013_10s,private,21.7803897857666,-22.301034927368164
tsne,OpenFace,fourth_quarter_0016_10s,private,23.861862182617188,-21.010435104370117
tsne,OpenFace,fourth_quarter_0019_10s,private,34.6964111328125,8.50820255279541
tsne,OpenFace,fourth_quarter_0020_10s,private,22.50391387939453,-10.997162818908691
tsne,OpenFace,fourth_quarter_0021_10s,private,41.49480056762695,-0.5282822847366333
tsne,OpenFace,fourth_quarter_0022_10s,private,16.474029541015625,13.156205177307129
tsne,OpenFace,fourth_quarter_0023_10s,private,38.47341537475586,-11.53014850616455
tsne,OpenFace,fourth_quarter_0024_10s,private,32.857147216796875,1.1867237091064453
tsne,OpenFace,fourth_quarter_0026_10s,private,15.988006591796875,-24.048038482666016
tsne,OpenFace,fourth_quarter_0028_10s,private,19.3634090423584,-0.9803072810173035
tsne,OpenFace,fourth_quarter_0030_10s,private,13.592489242553711,-25.931936264038086
tsne,OpenFace,fourth_quarter_0031_10s,private,46.502586364746094,10.123078346252441
tsne,OpenFace,fourth_quarter_0032_10s,private,38.906089782714844,3.9199202060699463
tsne,OpenFace,fourth_quarter_0033_10s,private,27.528846740722656,7.318432331085205
tsne,OpenFace,fourth_quarter_0034_10s,private,16.75869369506836,13.57819652557373
tsne,OpenFace,fourth_quarter_0035_10s,private,13.454178810119629,13.880497932434082
tsne,OpenFace,fourth_quarter_0036_10s,private,12.624099731445312,13.708878517150879
tsne,OpenFace,fourth_quarter_0038_10s,private,25.96295166015625,2.285632848739624
tsne,OpenFace,fourth_quarter_0047_10s,private,12.395089149475098,-19.41398048400879
tsne,OpenFace,fourth_quarter_0048_10s,private,46.17491149902344,11.692493438720703
tsne,OpenFace,fourth_quarter_0050_10s,private,38.85476303100586,-11.532772064208984
tsne,OpenFace,fourth_quarter_0051_10s,private,15.837702751159668,13.46223258972168
tsne,OpenFace,fourth_quarter_0052_10s,private,34.48942565917969,-4.158786296844482
tsne,OpenFace,fourth_quarter_0053_10s,private,23.26347541809082,-10.480620384216309
tsne,OpenFace,fourth_quarter_0065_10s,private,23.2818660736084,-8.603337287902832
tsne,OpenFace,fourth_quarter_0066_10s,private,36.74574661254883,-4.325551986694336
tsne,OpenFace,fourth_quarter_0067_10s,private,35.16707229614258,-2.2967562675476074
tsne,OpenFace,fourth_quarter_0068_10s,private,35.5025749206543,-2.7027645111083984
tsne,OpenFace,fourth_quarter_0069_10s,private,36.14778137207031,-3.6117420196533203
tsne,OpenFace,fourth_quarter_0070_10s,private,15.21336555480957,13.153129577636719
tsne,OpenFace,fourth_quarter_0071_10s,private,27.227725982666016,7.072472095489502
tsne,OpenFace,fourth_quarter_0072_10s,private,33.79261016845703,4.356141090393066
tsne,OpenFace,fourth_quarter_0073_10s,private,9.728629112243652,-23.339977264404297
tsne,OpenFace,fourth_quarter_0074_10s,private,10.28523063659668,-23.100017547607422
tsne,OpenFace,fourth_quarter_0075_10s,private,8.651853561401367,-27.19136619567871
tsne,OpenFace,fourth_quarter_0076_10s,private,8.938158988952637,-24.902320861816406
tsne,OpenFace,fourth_quarter_0077_10s,private,8.873939514160156,-23.15035057067871
tsne,OpenFace,fourth_quarter_0078_10s,private,8.43048095703125,-23.37078285217285
tsne,OpenFace,fourth_quarter_0080_10s,private,9.061650276184082,-26.3819637298584
tsne,OpenFace,fourth_quarter_0081_10s,private,8.52107048034668,-26.054851531982422
tsne,OpenFace,fourth_quarter_0082_10s,private,9.26409912109375,-25.498798370361328
tsne,OpenFace,fourth_quarter_0083_10s,private,11.21375560760498,-26.413097381591797
tsne,OpenFace,fourth_quarter_0084_10s,private,11.786314010620117,-25.850797653198242
tsne,OpenFace,fourth_quarter_0085_10s,private,10.626485824584961,-24.05168342590332
tsne,OpenFace,fourth_quarter_0086_10s,private,17.753494262695312,-27.02271842956543
tsne,OpenFace,fourth_quarter_0087_10s,private,9.642454147338867,-24.032316207885742
tsne,OpenFace,fourth_quarter_0088_10s,private,13.861881256103516,-24.754777908325195
tsne,OpenFace,fourth_quarter_0089_10s,private,10.114142417907715,-25.63054656982422
tsne,OpenFace,fourth_quarter_0090_10s,private,14.610204696655273,-24.176389694213867
tsne,OpenFace,fourth_quarter_0091_10s,private,18.585813522338867,-24.46660614013672
tsne,OpenFace,fourth_quarter_0092_10s,private,16.278959274291992,-20.561874389648438
tsne,OpenFace,fourth_quarter_0093_10s,private,16.55084228515625,-24.790536880493164
tsne,OpenFace,fourth_quarter_0094_10s,private,17.475688934326172,-25.254573822021484
tsne,OpenFace,fourth_quarter_0095_10s,private,18.43243980407715,-26.21192169189453
tsne,OpenFace,fourth_quarter_0096_10s,private,17.297657012939453,-23.326824188232422
tsne,OpenFace,fourth_quarter_0097_10s,private,18.240467071533203,-26.280282974243164
tsne,OpenFace,fourth_quarter_0098_10s,private,16.463544845581055,-25.54000473022461
tsne,OpenFace,fourth_quarter_0101_10s,private,16.617660522460938,-21.185171127319336
tsne,OpenFace,fourth_quarter_0103_10s,private,18.27933692932129,-23.260696411132812
tsne,OpenFace,fourth_quarter_0104_10s,private,17.229022979736328,-20.866296768188477
tsne,OpenFace,fourth_quarter_0105_10s,private,16.084491729736328,-21.110960006713867
tsne,OpenFace,fourth_quarter_0106_10s,private,10.468281745910645,-26.06610870361328
tsne,OpenFace,fourth_quarter_0107_10s,private,11.628827095031738,-28.295917510986328
tsne,OpenFace,fourth_quarter_0109_10s,private,11.005961418151855,-27.91115951538086
tsne,OpenFace,fourth_quarter_0110_10s,private,12.50423812866211,-27.004087448120117
tsne,OpenFace,fourth_quarter_0111_10s,private,16.4058780670166,-23.66437339782715
tsne,OpenFace,fourth_quarter_0112_10s,private,13.964077949523926,-21.972152709960938
tsne,OpenFace,fourth_quarter_0113_10s,private,16.25766944885254,-22.457305908203125
tsne,OpenFace,fourth_quarter_0114_10s,private,11.428688049316406,-25.191694259643555
tsne,OpenFace,fourth_quarter_0115_10s,private,10.800793647766113,-25.322763442993164
tsne,OpenFace,fourth_quarter_0119_10s,private,9.768208503723145,-26.707735061645508
tsne,OpenFace,fourth_quarter_0120_10s,private,11.14793872833252,-24.009090423583984
tsne,OpenFace,fourth_quarter_0121_10s,private,11.23044204711914,-24.16627311706543
tsne,OpenFace,fourth_quarter_0122_10s,private,13.678895950317383,-23.110824584960938
tsne,OpenFace,fourth_quarter_0123_10s,private,11.922396659851074,-23.78960609436035
tsne,OpenFace,fourth_quarter_0124_10s,private,12.044336318969727,-22.462814331054688
tsne,OpenFace,fourth_quarter_0125_10s,private,13.56570053100586,-23.828861236572266
tsne,OpenFace,fourth_quarter_0126_10s,private,12.985244750976562,-21.596349716186523
tsne,OpenFace,fourth_quarter_0127_10s,private,13.12867546081543,-21.823366165161133
tsne,OpenFace,fourth_quarter_0128_10s,private,14.012980461120605,-20.116344451904297
tsne,OpenFace,fourth_quarter_0129_10s,private,12.707839012145996,-22.322410583496094
tsne,OpenFace,fourth_quarter_0130_10s,private,15.660574913024902,-19.602270126342773
tsne,OpenFace,fourth_quarter_0133_10s,private,14.804413795471191,-20.930530548095703
tsne,OpenFace,fourth_quarter_0136_10s,private,37.084808349609375,-12.214775085449219
tsne,OpenFace,fourth_quarter_0137_10s,private,16.950111389160156,14.308380126953125
tsne,OpenFace,fourth_quarter_0138_10s,private,21.728282928466797,-10.93793773651123
tsne,OpenFace,fourth_quarter_0139_10s,private,26.607879638671875,0.03877301141619682
tsne,OpenFace,fourth_quarter_0152_10s,private,18.525554656982422,-13.048158645629883
tsne,OpenFace,fourth_quarter_0153_10s,private,19.11865997314453,0.504122257232666
tsne,OpenFace,fourth_quarter_0154_10s,private,16.060420989990234,14.807899475097656
tsne,OpenFace,fourth_quarter_0158_10s,private,15.027748107910156,-23.939552307128906
tsne,OpenFace,fourth_quarter_0160_10s,private,41.837921142578125,0.007184157148003578
tsne,OpenFace,fourth_quarter_0163_10s,private,45.978118896484375,11.298759460449219
tsne,OpenFace,fourth_quarter_0165_10s,private,36.869773864746094,-13.178537368774414
tsne,OpenFace,fourth_quarter_0166_10s,private,14.562192916870117,14.37922477722168
tsne,OpenFace,fourth_quarter_0167_10s,private,15.239566802978516,14.667634963989258
tsne,OpenFace,fourth_quarter_0168_10s,private,22.748624801635742,-17.33384895324707
tsne,OpenFace,fourth_quarter_0169_10s,private,26.388763427734375,-0.10816485434770584
tsne,OpenFace,fourth_quarter_0182_10s,private,26.083229064941406,-1.9885902404785156
tsne,OpenFace,fourth_quarter_0183_10s,private,16.449132919311523,-13.734135627746582
tsne,OpenFace,fourth_quarter_0184_10s,private,15.764827728271484,14.740646362304688
tsne,OpenFace,fourth_quarter_0185_10s,private,26.774826049804688,4.973696231842041
tsne,OpenFace,fourth_quarter_0186_10s,private,38.80813980102539,5.146092414855957
tsne,OpenFace,fourth_quarter_0188_10s,private,15.866047859191895,-21.401838302612305
tsne,OpenFace,fourth_quarter_0193_10s,private,46.17521667480469,10.84292984008789
tsne,OpenFace,fourth_quarter_0194_10s,private,35.348087310791016,1.8449430465698242
tsne,OpenFace,fourth_quarter_0195_10s,private,37.4850959777832,-10.588653564453125
tsne,OpenFace,fourth_quarter_0196_10s,private,15.737813949584961,14.271102905273438
tsne,OpenFace,fourth_quarter_0197_10s,private,15.365675926208496,-15.290145874023438
tsne,OpenFace,fourth_quarter_0211_10s,private,35.42936706542969,-6.723741054534912
tsne,OpenFace,fourth_quarter_0216_10s,private,15.237829208374023,-25.063434600830078
tsne,OpenFace,fourth_quarter_0237_10s,private,41.91389465332031,11.12641429901123
tsne,OpenFace,fourth_quarter_0241_10s,private,9.685297966003418,-16.604949951171875
tsne,OpenFace,fourth_quarter_0244_10s,private,41.785125732421875,11.02843189239502
tsne,OpenFace,fourth_quarter_0245_10s,private,19.01913833618164,-1.2599982023239136
tsne,OpenFace,fourth_quarter_0249_10s,private,12.923294067382812,-24.807767868041992
tsne,OpenFace,fourth_quarter_0257_10s,private,41.85335922241211,11.287158012390137
tsne,OpenFace,fourth_quarter_0264_10s,private,23.242008209228516,-21.982154846191406
tsne,OpenFace,second_quarter_0001_10s,private,50.37946319580078,1.2853256464004517
tsne,OpenFace,second_quarter_0003_10s,private,37.41664505004883,-5.721050262451172
tsne,OpenFace,second_quarter_0005_10s,private,21.48424530029297,-18.370248794555664
tsne,OpenFace,second_quarter_0012_10s,private,19.53225326538086,-0.15208785235881805
tsne,OpenFace,second_quarter_0017_10s,private,20.118375778198242,-0.8008530139923096
tsne,OpenFace,second_quarter_0019_10s,private,51.45310974121094,2.7802841663360596
tsne,OpenFace,second_quarter_0026_10s,private,36.817813873291016,-2.8679888248443604
tsne,OpenFace,second_quarter_0027_10s,private,27.944278717041016,-1.8461886644363403
tsne,OpenFace,second_quarter_0028_10s,private,44.1970100402832,3.4750635623931885
tsne,OpenFace,second_quarter_0029_10s,private,46.06782531738281,12.476213455200195
tsne,OpenFace,second_quarter_0030_10s,private,35.21121597290039,0.23809032142162323
tsne,OpenFace,second_quarter_0033_10s,private,22.552167892456055,-16.080181121826172
tsne,OpenFace,second_quarter_0038_10s,private,20.525169372558594,-1.5426937341690063
tsne,OpenFace,second_quarter_0039_10s,private,49.520660400390625,11.09585189819336
tsne,OpenFace,second_quarter_0040_10s,private,38.31409454345703,-3.435748815536499
tsne,OpenFace,second_quarter_0042_10s,private,21.115211486816406,-22.23371696472168
tsne,OpenFace,second_quarter_0044_10s,private,15.115189552307129,-26.891618728637695
tsne,OpenFace,second_quarter_0045_10s,private,43.55585479736328,-2.3752410411834717
tsne,OpenFace,second_quarter_0046_10s,private,46.9625129699707,11.951945304870605
tsne,OpenFace,second_quarter_0047_10s,private,46.178138732910156,3.2858731746673584
tsne,OpenFace,second_quarter_0053_10s,private,19.586793899536133,-7.567804336547852
tsne,OpenFace,second_quarter_0055_10s,private,24.7415714263916,-14.705323219299316
tsne,OpenFace,second_quarter_0057_10s,private,24.96339225769043,-10.923171997070312
tsne,OpenFace,second_quarter_0063_10s,private,27.917043685913086,3.0665619373321533
tsne,OpenFace,second_quarter_0065_10s,private,21.026432037353516,4.131939888000488
tsne,OpenFace,second_quarter_0071_10s,private,26.979841232299805,0.48584264516830444
tsne,OpenFace,second_quarter_0132_10s,private,47.892112731933594,11.492487907409668
tsne,OpenFace,second_quarter_0139_10s,private,13.6165771484375,-27.98032569885254
tsne,OpenFace,second_quarter_0152_10s,private,19.467878341674805,-4.044559001922607
tsne,OpenFace,second_quarter_0155_10s,private,26.171966552734375,-2.8760130405426025
tsne,OpenFace,second_quarter_0158_10s,private,33.619266510009766,0.521769642829895
tsne,OpenFace,second_quarter_0160_10s,private,45.7614631652832,-2.1575143337249756
tsne,OpenFace,second_quarter_0162_10s,private,40.306392669677734,-0.14074453711509705
tsne,OpenFace,second_quarter_0165_10s,private,25.067995071411133,-3.5011487007141113
tsne,OpenFace,second_quarter_0169_10s,private,20.558704376220703,-9.425187110900879
tsne,OpenFace,second_quarter_0171_10s,private,48.568790435791016,-0.6003248691558838
tsne,OpenFace,second_quarter_0181_10s,private,31.1922550201416,3.6527626514434814
tsne,OpenFace,second_quarter_0182_10s,private,20.3758544921875,-3.5974793434143066
tsne,OpenFace,second_quarter_0190_10s,private,47.61785888671875,8.98966121673584
tsne,OpenFace,second_quarter_0199_10s,private,19.719087600708008,7.58538293838501
tsne,OpenFace,second_quarter_0200_10s,private,44.457298278808594,-12.350854873657227
tsne,OpenFace,second_quarter_0202_10s,private,37.675376892089844,7.742502689361572
tsne,OpenFace,second_quarter_0204_10s,private,50.283485412597656,10.655064582824707
tsne,OpenFace,second_quarter_0209_10s,private,50.762271881103516,3.717040538787842
tsne,OpenFace,second_quarter_0210_10s,private,23.7324161529541,-6.54925012588501
tsne,OpenFace,second_quarter_0211_10s,private,50.37594985961914,2.9984116554260254
tsne,OpenFace,second_quarter_0212_10s,private,23.989601135253906,-11.069283485412598
tsne,OpenFace,second_quarter_0213_10s,private,42.28143310546875,-2.1563470363616943
tsne,OpenFace,second_quarter_0215_10s,private,17.52482795715332,1.7993098497390747
tsne,OpenFace,second_quarter_0217_10s,private,41.211082458496094,-12.735777854919434
tsne,OpenFace,second_quarter_0224_10s,private,17.945907592773438,-19.44549560546875
tsne,OpenFace,second_quarter_0231_10s,private,41.215763092041016,-12.165772438049316
tsne,OpenFace,second_quarter_0233_10s,private,44.002479553222656,11.711609840393066
tsne,OpenFace,second_quarter_0234_10s,private,22.13887596130371,-7.553612232208252
tsne,OpenFace,second_quarter_0235_10s,private,39.731300354003906,1.2423210144042969
tsne,OpenFace,second_quarter_0236_10s,private,24.737503051757812,-9.697964668273926
tsne,OpenFace,second_quarter_0238_10s,private,21.215085983276367,-6.30176305770874
tsne,OpenFace,second_quarter_0239_10s,private,43.67863845825195,-2.355337619781494
tsne,OpenFace,second_quarter_0240_10s,private,47.01936340332031,-1.6597161293029785
tsne,OpenFace,second_quarter_0242_10s,private,47.44989013671875,-1.377691388130188
tsne,OpenFace,second_quarter_0243_10s,private,18.721742630004883,-4.398146629333496
tsne,OpenFace,second_quarter_0244_10s,private,39.36442184448242,-7.051596641540527
tsne,OpenFace,second_quarter_0246_10s,private,42.07238006591797,-1.172160029411316
tsne,OpenFace,second_quarter_0247_10s,private,22.21163558959961,-7.726017475128174
tsne,OpenFace,second_quarter_0248_10s,private,15.567309379577637,3.1519815921783447
tsne,OpenFace,second_quarter_0250_10s,private,41.704566955566406,-12.334117889404297
tsne,OpenFace,second_quarter_0257_10s,private,17.897315979003906,-19.674043655395508
tsne,OpenFace,second_quarter_0263_10s,private,41.301910400390625,-11.837846755981445
tsne,OpenFace,second_quarter_0265_10s,private,14.788687705993652,6.775345802307129
tsne,OpenFace,second_quarter_0266_10s,private,21.902185440063477,-7.0763020515441895
tsne,OpenFace,third_quarter_0001_10s,private,18.640960693359375,6.314779281616211
tsne,OpenFace,third_quarter_0002_10s,private,30.959041595458984,1.8718903064727783
tsne,OpenFace,third_quarter_0003_10s,private,20.136241912841797,-12.905118942260742
tsne,OpenFace,third_quarter_0005_10s,private,35.38312911987305,3.7752034664154053
tsne,OpenFace,third_quarter_0007_10s,private,18.444316864013672,1.859833836555481
tsne,OpenFace,third_quarter_0008_10s,private,47.47029113769531,0.004892359022051096
tsne,OpenFace,third_quarter_0009_10s,private,40.80827713012695,-11.692381858825684
tsne,OpenFace,third_quarter_0011_10s,private,25.763988494873047,-12.27110767364502
tsne,OpenFace,third_quarter_0012_10s,private,27.347904205322266,-2.117933511734009
tsne,OpenFace,third_quarter_0013_10s,private,50.53453063964844,4.848665237426758
tsne,OpenFace,third_quarter_0016_10s,private,44.902652740478516,-10.242822647094727
tsne,OpenFace,third_quarter_0021_10s,private,49.384525299072266,2.5612735748291016
tsne,OpenFace,third_quarter_0022_10s,private,16.307113647460938,1.7195073366165161
tsne,OpenFace,third_quarter_0023_10s,private,39.85268783569336,-4.272484302520752
tsne,OpenFace,third_quarter_0025_10s,private,32.502567291259766,0.3312216103076935
tsne,OpenFace,third_quarter_0026_10s,private,24.197484970092773,-8.147802352905273
tsne,OpenFace,third_quarter_0030_10s,private,24.176742553710938,4.073822498321533
tsne,OpenFace,third_quarter_0031_10s,private,43.943321228027344,-3.670626163482666
tsne,OpenFace,third_quarter_0034_10s,private,16.288358688354492,1.8465665578842163
tsne,OpenFace,third_quarter_0035_10s,private,10.889772415161133,-17.68012809753418
tsne,OpenFace,third_quarter_0036_10s,private,10.681514739990234,-17.47568702697754
tsne,OpenFace,third_quarter_0037_10s,private,46.996726989746094,0.041348230093717575
tsne,OpenFace,third_quarter_0038_10s,private,39.293277740478516,-8.248712539672852
tsne,OpenFace,third_quarter_0039_10s,private,34.53586959838867,8.254266738891602
tsne,OpenFace,third_quarter_0040_10s,private,51.416473388671875,1.948250412940979
tsne,OpenFace,third_quarter_0042_10s,private,23.152812957763672,1.7871320247650146
tsne,OpenFace,third_quarter_0044_10s,private,23.126325607299805,1.4590874910354614
tsne,OpenFace,third_quarter_0046_10s,private,20.992774963378906,-6.34479284286499
tsne,OpenFace,third_quarter_0047_10s,private,38.71895980834961,-1.9009523391723633
tsne,OpenFace,third_quarter_0048_10s,private,48.24909210205078,4.750189304351807
tsne,OpenFace,third_quarter_0049_10s,private,31.588863372802734,0.007359242532402277
tsne,OpenFace,third_quarter_0051_10s,private,41.962650299072266,-13.305444717407227
tsne,OpenFace,third_quarter_0054_10s,private,34.388431549072266,9.018142700195312
tsne,OpenFace,third_quarter_0055_10s,private,33.028987884521484,1.9627676010131836
tsne,OpenFace,third_quarter_0056_10s,private,28.166635513305664,4.298076629638672
tsne,OpenFace,third_quarter_0059_10s,private,37.86697769165039,3.772423028945923
tsne,OpenFace,third_quarter_0061_10s,private,37.872562408447266,3.549501895904541
tsne,OpenFace,third_quarter_0064_10s,private,34.781463623046875,8.487316131591797
tsne,OpenFace,third_quarter_0066_10s,private,44.80668640136719,-3.100994825363159
tsne,OpenFace,third_quarter_0067_10s,private,45.863792419433594,1.0906901359558105
tsne,OpenFace,third_quarter_0068_10s,private,46.726078033447266,0.07523776590824127
tsne,OpenFace,third_quarter_0069_10s,private,46.49264144897461,0.9254123568534851
tsne,OpenFace,third_quarter_0070_10s,private,16.854402542114258,5.544864654541016
tsne,OpenFace,third_quarter_0072_10s,private,38.06357192993164,1.961287498474121
tsne,OpenFace,third_quarter_0073_10s,private,28.100095748901367,-4.1528401374816895
tsne,OpenFace,third_quarter_0074_10s,private,27.75533103942871,-7.603839874267578
tsne,OpenFace,third_quarter_0075_10s,private,27.36676025390625,-5.8438239097595215
tsne,OpenFace,third_quarter_0076_10s,private,27.537736892700195,-6.6262359619140625
tsne,OpenFace,third_quarter_0078_10s,private,29.14345359802246,-10.83271312713623
tsne,OpenFace,third_quarter_0079_10s,private,27.41642189025879,-11.143378257751465
tsne,OpenFace,third_quarter_0080_10s,private,28.557790756225586,-11.428095817565918
tsne,OpenFace,third_quarter_0081_10s,private,28.61135482788086,-10.95191478729248
tsne,OpenFace,third_quarter_0084_10s,private,27.94805908203125,-5.432816982269287
tsne,OpenFace,third_quarter_0085_10s,private,28.857311248779297,-9.833614349365234
tsne,OpenFace,third_quarter_0086_10s,private,28.162517547607422,-4.676605224609375
tsne,OpenFace,third_quarter_0087_10s,private,27.580278396606445,-4.8797454833984375
tsne,OpenFace,third_quarter_0088_10s,private,30.674365997314453,-3.579761028289795
tsne,OpenFace,third_quarter_0089_10s,private,29.814990997314453,-9.867091178894043
tsne,OpenFace,third_quarter_0090_10s,private,30.06451988220215,-9.362492561340332
tsne,OpenFace,third_quarter_0092_10s,private,28.132884979248047,-6.0000762939453125
tsne,OpenFace,third_quarter_0093_10s,private,29.251794815063477,-6.368443965911865
tsne,OpenFace,third_quarter_0094_10s,private,29.395828247070312,-8.701493263244629
tsne,OpenFace,third_quarter_0095_10s,private,30.279666900634766,-6.36605167388916
tsne,OpenFace,third_quarter_0097_10s,private,30.335378646850586,-10.588308334350586
tsne,OpenFace,third_quarter_0098_10s,private,28.815744400024414,-6.81052303314209
